city,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
gurgaon,flat,sector 85,1.98,3,4,3,Relatively New,2399.0,0,1,0,High,High Floor
gurgaon,flat,sector 81,2.22,3,4,3+,Relatively New,2407.0,1,0,2,High,High Floor
bangalore,flat,"whitefield, bangalore",8.0,4,4,2,Moderately Old,3653.0,1,0,0,Low,Mid Floor
gurgaon,flat,sector 79,1.47,2,2,3,New Property,93.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 90,1.26,3,3,2,Relatively New,1650.0,0,0,0,Low,High Floor
bangalore,flat,"electronics city phase 1, bangalore",0.6251,3,2,2,New Property,1510.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 65,2.79,4,4,3+,Relatively New,2194.0,1,0,1,High,Low Floor
gurgaon,house,sector 48,8.25,4,4,3+,Relatively New,2160.0,1,1,2,High,Mid Floor
gurgaon,flat,sohna road,1.14,3,3,3+,Relatively New,1382.0,0,0,0,High,Mid Floor
gurgaon,flat,sector 67,3.4,3,4,3,Relatively New,2015.0,1,0,2,High,High Floor
gurgaon,house,sector 43,10.85,8,8,3,Moderately Old,3762.0,1,1,1,High,Mid Floor
gurgaon,flat,sector 89,0.95,2,2,2,New Property,1225.0,1,0,0,Low,Mid Floor
bangalore,house,"soukya road, whitefield, bangalore",1.4,3,4,1,New Property,1600.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 3,0.8,3,3,1,Old Property,1000.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 109,1.7,3,3,3,Relatively New,1550.0,0,0,0,Medium,High Floor
gurgaon,house,sector 43,5.8,6,6,3,Relatively New,1935.0,1,0,2,Low,Low Floor
gurgaon,flat,sector 104,1.35,4,5,3+,Relatively New,3000.0,1,1,0,Medium,Low Floor
gurgaon,flat,sector 108,1.25,3,2,0,Relatively New,1991.0,0,0,2,Medium,Low Floor
gurgaon,flat,sector 9a,1.5,4,3,3+,Relatively New,1833.0,0,0,2,Low,Mid Floor
bangalore,flat,"hoodi, bangalore",3.0,4,4,2,Relatively New,2021.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 65,2.8,4,4,3,Relatively New,1650.0,0,0,2,Medium,Low Floor
gurgaon,flat,sector 85,2.1,4,5,3+,Relatively New,2544.0,0,0,2,Medium,Mid Floor
