property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
Anahata,https://www.99acres.com/anahata-whitefield-bangalore-east-npxid-r441258,Anahata,,,,,,,,,,,,[],"Check out 2,3 BHK apartments in Whitefield, now available for sale at Anahata. Prices of apartments in this project, vary between Rs. 94 L - 1.34 Cr. Anahata is a RERA- registered society and PRM/KA/RERA/1250/304/PR/290425/007702 is the RERA registration number. Anahata apartments are available in multiples sizes, ranging from 1,164 - 1,758 sqft SUPER area",[],[],[],441258
M The Breeze Way,https://www.99acres.com/m-the-breeze-way-jp-nagar-bangalore-south-npxid-r440253,M The Breeze Way,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 2,3,4 BHK apartments in JP Nagar, available for sale in M The Breeze Way. M The Breeze Way 's RERA registration number is PRM/KA/RERA/1251/310/PR/310125/007466. Here units have different sizes, mostly in range of 1,170 - 2,085 sqft SUPER area. Apartment prices in this housing society vary in the range of Rs. 1.23 - 2.19 Cr",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.3 out of 5', 'Green Area4.2 out of 5']",440253
Brigade El Dorado,https://www.99acres.com/brigade-el-dorado-bagalur-bangalore-north-npxid-r331133,Brigade El Dorado,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Bagalur, available for sale in Brigade El Dorado. Here units have different sizes, mostly in range of 521 - 1,561 sqft SUPER area. This society offers apartments in the price range of Rs. 59.14 L - 1.77 Cr. This society is RERA approved and PRM/KA/RERA/1251/472/PR/190427/002540 is the RERA number",[],[],"['Construction3.7 out of 5', 'Amenities4 out of 5', 'Management3.6 out of 5', 'Connectivity3.7 out of 5', 'Green Area4 out of 5']",331133
Ashraya Meadows,https://www.99acres.com/ashraya-meadows-whitefield-bangalore-east-npxid-r444570,Ashraya Meadows,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 2,3 BHK apartments in Whitefield, available for sale in Ashraya Meadows. Ashraya Meadows has apartments in multiple configurations, in range of 1,161 - 1,409 sqft. Apartment prices in this housing society vary in the range of Rs. 74.29 - 90.16 L. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/070425/007656 registration number",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",444570
Meridian Park at The Prestige City,https://www.99acres.com/meridian-park-at-the-prestige-city-sarjapur-road-bangalore-east-npxid-r385349,Meridian Park at The Prestige City,,,,,,,,,,,,[],"Here are beautifully built 2,3 BHK apartments in Sarjapur Road, available for sale at Meridian Park at The Prestige City. Apartments in Meridian Park at The Prestige City have SUPER area ranging between 1,245 - 1,865 sqft. Prices of apartments in this project, vary between Rs. 1.74 - 2.7 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/090222/004684 registration number",[],[],"['Nearby Facilities4 out of 5', 'Value for Money3.7 out of 5', 'Connectivity3.9 out of 5']",385349
JSN Magnum,https://www.99acres.com/jsn-magnum-horamavu-bangalore-east-npxid-r458614,JSN Magnum,,,,,,,,,,,,[],"JSN Magnum society now offers elegantly built 2,3 BHK apartments in Horamavu. Apartment prices in this housing society vary in the range of Rs. 67.79 - 76.19 L. Here units have different sizes, mostly in range of 1,130 - 1,270 sqft SUPER area. Apartments at JSN Magnum is currently Under Construction",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4.1 out of 5']",458614
Sobha Ayana,https://www.99acres.com/sobha-ayana-balagere-bangalore-east-npxid-r435534,Sobha Ayana,,,,,,,,,,,,[],"Sobha Ayana society now offers elegantly built 3 BHK apartments in Balagere. Sobha Ayana is a RERA- registered society and PRM/KA/RERA/1251/446/PR/030824/006958 is the RERA registration number. Sobha Ayana apartments are available in multiples sizes, ranging from 1,117 - 1,287 sqft CARPET area. This society offers apartments in the price range of Rs. 2.01 - 2.32 Cr",[],[],"['Connectivity3.4 out of 5', 'Lifestyle3.5 out of 5', 'Safety3.5 out of 5', 'Green Area3.5 out of 5']",435534
DNR Parklink,https://www.99acres.com/dnr-parklink-hennur-road-bangalore-north-npxid-r413381,DNR Parklink,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Hennur Road, available for sale in DNR Parklink. DNR Parklink 's RERA registration number is PRM/KA/RERA/1251/446/PR/040823/006113. DNR Parklink apartments are available in multiples sizes, ranging from 1,357 - 2,491 sqft SUPER area. Apartments in this complex are available in price range of Rs. 1.32 - 2.42 Cr",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",413381
Vanshikas Natures Harmony,https://www.99acres.com/vanshikas-natures-harmony-kanakapura-road-bangalore-south-npxid-r439294,Vanshikas Natures Harmony,,,,,,,,,,,,[],"Looking for your dream home? Explore 3,4 BHK apartments in Kanakapura Road, now available in Vanshikas Natures Harmony. This society is RERA approved and PRM/KA/RERA/1251/310/PR/121124/007226 is the RERA number. Vanshikas Natures Harmony apartments are available in multiples sizes, ranging from 1,466 - 3,500 sqft SUPER area. This society offers apartments in the price range of Rs. 1.3 - 4.29 Cr",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",439294
TVS Emerald Cascadia,https://www.99acres.com/tvs-emerald-cascadia-sudhama-nagar-bangalore-central-npxid-r435917,TVS Emerald Cascadia,,,,,,,,,,,,[],"Check out 3,4 BHK apartments in Sudhama Nagar, now available for sale at TVS Emerald Cascadia . Apartments in TVS Emerald Cascadia  have CARPET area ranging between 1,683 - 2,926 sqft. Apartment prices in this housing society vary in the range of Rs. 6.01 - 10.45 Cr. This society is RERA approved and PRM/KA/RERA/1251/310/PR/180924/007033 is the RERA number",[],[],"['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.7 out of 5', 'Green Area3.7 out of 5']",435917
Purva Atmosphere,https://www.99acres.com/purva-atmosphere-thanisandra-main-road-bangalore-north-npxid-r324633,Purva Atmosphere,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 3 BHK apartments in Thanisandra Main Road, available for sale in Purva Atmosphere. Here units have different sizes, mostly in range of 1,680 - 2,005 sqft SUPER area. This society offers apartments in the price range of Rs. 2.47 - 2.95 Cr. Purva Atmosphere is a RERA- registered society and PRM/KA/RERA/1251/472/PR/190204/002350 is the RERA registration number",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",324633
Disha Harmony Gardens,https://www.99acres.com/disha-harmony-gardens-hennur-road-bangalore-north-npxid-r438224,Disha Harmony Gardens,,,,,,,,,,,,[],"Looking for your dream home? Explore 2,3 BHK apartments in Hennur Road, now available in Disha Harmony Gardens. Apartments in this complex are available in price range of Rs. 1.22 - 1.7 Cr. Disha Harmony Gardens 's RERA registration number is PRM/KA/RERA/1251/446/PR/020125/007341. Disha Harmony Gardens apartments are available in multiples sizes, ranging from 1,250 - 1,745 sqft SUPER area",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",438224
Brigade Sanctuary,https://www.99acres.com/brigade-sanctuary-chikkavaderapura-bangalore-east-npxid-r418319,Brigade Sanctuary,,,,,,,,,,,,[],"Check out 3,4 BHK apartments in Chikkavaderapura, now available for sale at Brigade Sanctuary. Brigade Sanctuary is a RERA- registered society and PRM/KA/RERA/1251/446/PR/041123/006372 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 1.99 - 3.49 Cr. Brigade Sanctuary apartments are available in multiples sizes, ranging from 1,424 - 2,491 sqft SUPER area",[],[],[],418319
SLV Brindavan,https://www.99acres.com/slv-brindavan-hoskote-bangalore-east-npxid-r340715,SLV Brindavan,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 2,3 BHK apartments in Hoskote, available for sale in SLV Brindavan. Apartment prices in this housing society vary in the range of Rs. 64.05 L - 1.24 Cr. Apartments in SLV Brindavan have SUPER area ranging between 1,033 - 1,994 sqft. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/190809/002790 registration number",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4 out of 5', 'Green Area4.2 out of 5']",340715
Elegant Atmos,https://www.99acres.com/elegant-atmos-yelahanka-bangalore-north-npxid-r451603,Elegant Atmos,,,,,,,,,,,,[],"Elegant Atmos, one of the known housing societes in Bangalore North, brings classic yet modern 3 BHK apartments in Yelahanka. This society offers apartments in the price range of Rs. 1.69 - 2.12 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/200825/008010 registration number. Elegant Atmos apartments are available in multiples sizes, ranging from 1,512 - 1,891 sqft SUPER area",[],[],[],451603
Bhartiya City Nikoo Homes 4,https://www.99acres.com/bhartiya-city-nikoo-homes-4-chokkanahalli-bangalore-north-npxid-r379387,Bhartiya City Nikoo Homes 4,,,,,,,,,,,,[],"Spacious 2,3,4 BHK apartments in Chokkanahalli are available for sale.Check out latest property options at Bhartiya City Nikoo Homes 4 housing society. The housing society is RERA-registered with PRM/KA/RERA/1251/472/PR/210731/004208 registration number. Prices of apartments in this project, vary between Rs. 1.04 - 3.48 Cr. Bhartiya City Nikoo Homes 4 apartments are available in multiples sizes, ranging from 743 - 2,488 sqft CARPET area",[],[],"['Connectivity4 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.6 out of 5', 'Green Area3.4 out of 5']",379387
Adarsh Tropica,https://www.99acres.com/adarsh-tropica-chikkanayakanahalli-bangalore-south-npxid-r399518,Adarsh Tropica,,,,,,,,,,,,[],"Finest 2,3 BHK apartments in Chikkanayakanahalli available for sale in Adarsh Tropica. Apartments in this complex are available in price range of Rs. 2.46 - 2.9 Cr. Adarsh Tropica 's RERA registration number is PRM/KA/RERA/1251/446/PR/111022/005309. Apartments in Adarsh Tropica have CARPET area ranging between 891 - 1,050 sqft",[],[],[],399518
Sarang by Sumadhura,https://www.99acres.com/sarang-by-sumadhura-whitefield-bangalore-east-npxid-r411425,Sarang by Sumadhura,,,,,,,,,,,,[],"Finest 2,3,4 BHK apartments in Whitefield available for sale in Sarang by Sumadhura. Sarang by Sumadhura has apartments in multiple configurations, in range of 1,225 - 2,580 sqft. Prices of apartments in this project, vary between Rs. 1.59 - 3.13 Cr. Sarang by Sumadhura is a RERA- registered society and PRM/KA/RERA/1251/446/PR/180723/006075 is the RERA registration number",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",411425
Brigade Calista,https://www.99acres.com/brigade-calista-budigere-cross-bangalore-east-npxid-r403481,Brigade Calista,,,,,,,,,,,,[],"Check out 2,3 BHK apartments in Budigere Cross, now available for sale at Brigade Calista. Brigade Calista apartments are available in multiples sizes, ranging from 821 - 1,245 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/030223/005683 registration number. This society offers apartments in the price range of Rs. 1.38 - 2.09 Cr",[],[],"['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",403481
Elegant Tranquility,https://www.99acres.com/elegant-tranquility-rajarajeshwari-nagar-bangalore-west-npxid-r411456,Elegant Tranquility,,,,,,,,,,,,[],"Beautiful 2,3,4 BHK apartments in Rajarajeshwari Nagar, are now available in Elegant Tranquility housing project. Apartments in this complex are available in price range of Rs. 1.2 - 2.55 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/300523/005959 registration number. Apartments in Elegant Tranquility have SUPER area ranging between 1,002 - 2,310 sqft",[],[],"['Connectivity4.5 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.4 out of 5']",411456
Purva Orient Grand,https://www.99acres.com/purva-orient-grand-sudhama-nagar-bangalore-central-npxid-r380824,Purva Orient Grand,,,,,,,,,,,,[],"Beautiful 3,4 BHK apartments in Sudhama Nagar, are now available in Purva Orient Grand housing project. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/210907/004299 registration number. Purva Orient Grand has apartments in multiple configurations, in range of 1,992 - 3,360 sqft. Apartments in this complex are available in price range of Rs. 5.43 - 9.16 Cr",[],[],[],380824
Mahindra Zen,https://www.99acres.com/mahindra-zen-begur-bangalore-south-npxid-r424468,Mahindra Zen,,,,,,,,,,,,[],"Finest 3,4 BHK apartments in Begur available for sale in Mahindra Zen. This society offers apartments in the price range of Rs. 2.25 - 2.84 Cr. Apartments in Mahindra Zen have SUPER area ranging between 1,872 - 2,363 sqft. This society is RERA approved and PRM/KA/RERA/1251/310/PR/210324/006712 is the RERA number",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.3 out of 5', 'Green Area4.2 out of 5']",424468
Sobha Victoria Park,https://www.99acres.com/sobha-victoria-park-kyalasanahalli-bangalore-north-npxid-r388892,Sobha Victoria Park,,,,,,,,,,,,[],"Here are beautifully built 2,3 BHK apartments in Kyalasanahalli, available for sale at Sobha Victoria Park. Apartment prices in this housing society vary in the range of Rs. 1.83 - 3.15 Cr. Sobha Victoria Park apartments are available in multiples sizes, ranging from 944 - 1,303 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/310322/004800 registration number",[],[],[],388892
Kolte Patil Lakeside 24,https://www.99acres.com/kolte-patil-lakeside-24-hennur-road-bangalore-north-npxid-r424109,Kolte Patil Lakeside 24,,,,,,,,,,,,[],"Beautiful 2,3,4 BHK apartments in Hennur Road, are now available in Kolte Patil Lakeside 24 housing project. Kolte Patil Lakeside 24 is a RERA- registered society and PRM/KA/RERA/1251/446/PR/060324/006667 is the RERA registration number. Here units have different sizes, mostly in range of 817 - 1,796 sqft CARPET area. Prices of apartments in this project, vary between Rs. 1.01 - 2.03 Cr",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",424109
Nandi Meraki,https://www.99acres.com/nandi-meraki-nobel-residency-bangalore-south-npxid-r403887,Nandi Meraki,,,,,,,,,,,,[],"Beautiful 2,3 BHK apartments in Nobel Residency, are now available in Nandi Meraki housing project. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/311222/005573 registration number. Nandi Meraki has apartments in multiple configurations, in range of 1,075 - 1,950 sqft. Prices of apartments in this project, vary between Rs. 95.83 L - 1.74 Cr",[],[],"['Connectivity3.7 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Green Area3.8 out of 5']",403887
"2 BHK Flat in Gummanahalli, Near Bagalur, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-provident-ecopolitan-gummanahalli-bangalore-north-1057-sq-ft-spid-H86912656,Provident Ecopolitan,1.21 Crore,"₹11,447 /sqft",Super Built-up area 1057(98.2 sq.m.)Built-up area: 736 sqft (68.38 sq.m.)Carpet area: 665.43 sqft (61.82 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,2 Balconies,,"Heco-S-W7-0604, Gummanahalli, Near Bagalur, Bangalore",6th   of 19 Floors,East,Sep 2027,"['Jawahar Navodaya Vidyalaya', 'CMR University Lakeside Campus', 'Ecopolis IT/ITES SEZ', 'Bhartiya Mall Of Bengaluru', 'Omega Multispeciality Hospital', 'SH 104', 'Dodjala H Railway Station', 'Kempegowda International Airport', 'FSV Arena']","Residential apartment
This is your chance to a 2 bhk apartment / flat for sale in provident ecopolitan gummanahalli near bagalur bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious h...",[],['Vaastu Compliant'],"['Connectivity3.8 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.8 out of 5', 'Green Area3.8 out of 5']",H86912656
Sobha Windsor,https://www.99acres.com/sobha-windsor-whitefield-bangalore-east-npxid-r373595,Sobha Windsor,,,,,,,,,,,,[],"Spacious 2,3 BHK apartments in Whitefield are available for sale.Check out latest property options at Sobha Windsor housing society. Sobha Windsor apartments are available in multiples sizes, ranging from 1,074 - 1,365 sqft CARPET area. Sobha Windsor is a RERA- registered society and PRM/KA/RERA/1251/446/PR/210219/003939 is the RERA registration number. Apartments in this complex are available in price range of Rs. 1.5 - 1.91 Cr",[],[],"['Nearby Facilities4.1 out of 5', 'Value for Money4.1 out of 5', 'Connectivity4.4 out of 5']",373595
Elegant Whispering Winds,https://www.99acres.com/elegant-whispering-winds-kanakapura-road-bangalore-south-npxid-r259453,Elegant Whispering Winds,,,,,,,,,,,,[],"Elegant Whispering Winds, one of the known housing societes in Bangalore South, brings classic yet modern 2 BHK apartments in Kanakapura Road. This society is RERA approved and PRM/KA/RERA/1251/310/PR/171222/001523 is the RERA number. Apartments in Elegant Whispering Winds have SUPER area ranging between 1,419 sqft. Prices of apartments in this project, vary between Rs. 1.5 Cr",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",259453
"2 BHK Flat in Kasavanhalli, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kasavanhalli-bangalore-east-1071-sqft-spid-S90684366,MSR Sunnyvale,79 Lac,"₹7,376 /sqft",Super Built-up area 1071(99.5 sq.m.)Built-up area: 921 sqft (85.56 sq.m.)Carpet area: 803 sqft (74.6 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,No Balcony,,"Kasavanhalli, Bangalore",Ground of 5 Floors,East,0 to 1 Year Old,"['Pelekamma Temple', 'State bank of india ATM', 'State bank of india ATM', 'Citibank ATM', 'Axis bank ATM', 'Sai Clinic', 'add-on Scans & Labs', 'Naadi Ayurveda Center', 'The Family Doctor & The Family Pharma', 'Dr Mohan Nursing Home', 'Apollo Clinic', 'Alpha Clinics', 'Sparsh Clinic', 'Stanford Speciality Hospital', 'The Smile Kraftz Speciality Clinic', 'Dr. Elizabeth Jayaseelan', 'Clinic', 'Vaatsalya Homeopathy Clinic', 'Brothers Chemists', 'Apollo Pharmacy', 'Krishna Medical & General Stores', 'MedPlus Medical Center', 'Ramdev Medicals', 'Banashankari Medicals', 'Andhra bank', 'Hdfc bank', 'South indian bank', 'Karnataka bank', 'Hdfc bank', 'Canara bank', 'Icici bank', 'Kotak mahindra bank', 'Cafe 916', 'Pizza Hut', 'California Burrito', 'Cuppa Coffee', 'Vandana', 'South Inn', 'Amrutha multicuisine restaurant', ""Domino's Pizza"", 'Social', 'Chai Point', 'Chai World', 'Sarjapura Social', 'Punjabi Rasoi', 'Burger King', 'Xtreme Sports Bar', 'Xplod resto bar', 'Barbeque Nation', 'Vidyarambh Play School']","The flat occupies a super built up area of 1071 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . This flat is situated on the ground floor of this 5 floors tall residential building. As the project is already ready to move, so you can easily move into this 0-1 year old property. Moreover, this prop...","['1 Wardrobe', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff']","['Connectivity4 out of 5', 'Lifestyle4 out of 5', 'Safety3.9 out of 5', 'Green Area3.9 out of 5']",S90684366
