property_name,link,society,price,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,rate,noOfFloor
"4 Bedroom House for sale in Sunder Ram Shetty Nagar, Bannerghatta Road",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sunder-ram-shetty-nagar-bangalore-south-2400-sqft-spid-Q90074806,"Sunder Ram Shetty Nagar, Bannerghatta Road, Bangalore South",4 Crore,Plot area 1800(167.23 sq.m.)Built-up area: 2400 sqft (222.97 sq.m.),4 Bedrooms,4 Bathrooms,1 Balcony,"Pooja Room,Study Room,Others,Servant Room","Sunder Ram Shetty Nagar, Bannerghatta Road",North,10+ Year Old,"['Kaveramma Devalaya', 'Ayyappa Temple', 'Shaneeshwara Temple', 'Jamia Masjid', 'Anjaneya Temple', 'Someshwara', 'Sbi atm - iimb campus', 'Axis bank ATM', 'Hdfc bank ATM', 'Gayathri Dental Clinic', 'Ayurveda Clinic', 'Rajashri Grandhim Hospitals', 'Goldage Hospital', 'The Child Clinic', 'Anand Clinic', 'Akshara Eye Hospital', 'Rajashree Granthim hospital', 'Shraddha Dental Care', ""Vatsalya Chidren's Clinic"", 'Narayana Hrudayalaya Dental Clinic', 'Religare Wellness', 'MedPlus', 'Hdfc bank', 'Vijaya bank', 'Andhra bank', 'IIM Auditorium', 'Athicas Canteen', 'Chai-Unchai', 'Canteen', ""Prabhakar's"", 'Cafe Coffee Day', 'Elite Mess', 'Subway', 'Snack Corner', 'Fattoush', 'Adyar Ananda Bhavan', 'Yellow Submarine', 'Ammis Biriyani', 'Adigas', 'Teresa Pub Sch Bilekahalli', 'Dileep HPS Bilekalli', 'Orchid English School Bilekalli', 'Mgs Infant LPS Bilekalli', 'Dayana Memorial HPS Arakere', 'Euro Kids', 'Gnanaprakasham KHPS Bilekalli', 'Little Millenium', 'Blue Star Education Trust Bilekalli', 'GHPS Bilekalli', 'Just books library']","Located in sunder ram shetty nagar, this 10+ year old furnished 4 bhk independent villa offers 1800 sq.Ft. Of living space across multiple floors. Featuring 4 bathrooms, a separate servant room entry, parking, and central air conditioning, its available for immediate sale. Close to temples and atms, it combines comfort with convenience on bannerghatta road.","['2 Bed', '4 Wardrobe', '1 Water Purifier', 'Fan', '1 Stove', 'Light', '3 AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Rain Water Harvesting']",[],Q90074806,"₹22,222 /sqft",2 Floors
"13 Bedroom House for sale in M.R.Garden, Hebbal",https://www.99acres.com/13-bhk-bedroom-independent-house-villa-for-sale-in-mrgarden-bangalore-north-2040-sqft-spid-W89232393,"M.R.Garden, Hebbal, Bangalore North",4.23 Crore,Plot area 2040(189.52 sq.m.),13 Bedrooms,12 Bathrooms,3+ Balconies,"Pooja Room,Study Room","M.R.Garden, Hebbal",South,10+ Year Old,"['Nagenahalli Church', 'Kempapura Masjid', 'Sri Lakshmi Narasimha Swamy Temple', 'Ganesh Temple', 'Sri Kalyana Lakshmi Venkateshwara Temple', 'Axis bank ATM', 'Sbi ATM', 'Canara bank ATM', 'Axis bank ATM', 'Canara bank ATM', 'Icici bank ATM', 'Corporation bank ATM', 'Canara bank ATM', 'Parvathi Piles Clinic', 'Sanjeevini Children & Women Clinic', 'Herz Care Medisolutions', 'Dattatreya Multispeciality Clinic', 'Sri Lakshmi Diagnostic Center', 'Cure Hospital', 'Synergy Health Care', 'Ashirwad Hospital', 'Sai Surya Multi - Speciality Dental Clinic', 'Baptist Hospital', 'Medplus', 'Shiv shakthi medicals', 'Shiva Homoeo Medicals', 'Medplus', 'Bharat Petroleum', 'Petrol Station', 'Indian Oil', 'Corporation bank', 'Syndicate bank', 'Hdfc bank', 'Potteery Nine Cafe', 'Al Khair Restaurant', 'All About Liquor', 'Brahmins Thatte Idli', 'Swastik Bar & Restaurant', 'Desi Tadka', 'Goli VadaPav', 'Srinidhi Sagar', 'Star Hotel', 'Saaga', 'Udupi Brahmashree', 'Vishwenatha Naganahalli Indira Canteen', ""McDonald's"", 'Peacock Restaurant', 'Drishti School of Photography', 'Nathaniel School of Music', 'Sukrupa School']","This vastu-Compliant home represents a rare convergence of luxury living and rental-Yield independence, offering a meticulously designed three-Story property that balances a sophisticated personal residence with a robust rental portfolio:Elite residential design: The heart of the property is a three-Bedroom duplex featuring a welcoming foyer, two expansive halls for hosting, a dedicated study, a traditional pooja room, and a breezy sit-Out balcony for relaxation.Substantial income generation: Beyond the main home, the estate includes four 2-Bhk and two 1-Bhk units, currently generating a significant monthly rental yield of 1.5 lakhs.Superior infrastructure: Built for personal use with a strong pillar-Based structure, the home includes a small garden, 24-Hour water supply via both kaveri and borewell lines, a large storage sump, and eco-Friendly solar fittings for water heating and ups backup.Connectivity and commute: Perfectly positioned just 1 km from the outer ring road and 1.5 km from the hyderabad highway, the property is 15 minutes from manyata tech park, 35 minutes from the international airport, and 40-45 minutes from the mg road central hub.Future growth and transit: Residents will benefit from upcoming metro stations just 10 minutes away, ensuring long-Term resale value and effortless city-Wide transit.Wellness and recreation: Enjoy a peaceful lifestyle on a dead-End road with immediate access to the green walking trails of the agricultural university and hebbal lake, as well as several local parks and temples.Lifestyle and conveniences: Located near premium healthcare providers like baptist, aster, and columbia asia, the area is also a hub for shopping with more, d-Mart, and major brand showrooms in rt nagar and sahakar nagar, plus vibrant dining and pubbing points at new bel road and sahakarnagar.","['12 Wardrobe', 'Fan', '8 Geyser', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Visitor Parking']",[],W89232393,"₹20,735 /sqft",3 Floors
"4 Bedroom House for sale in Yelahanka, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-surya-valencia-yelahanka-bangalore-north-3100-sqftto-3315-sqft-npspid-M90124176,Surya Valencia,₹3.33  - 3.56 Cr,"3,100-3,315 sqft",4 Bedrooms,,,,"Yelahanka, Bangalore",,Under Construction,"['Presidency University', 'Stonehill International School', 'Omega Multispeciality Hospital', 'The Galleria Mall', 'Kempegowda International Airport']","Surya valencia is a residential development in addevishvanathapura, bangalore. The project is built by surya developers bangalore. They provide 4bhk villa with all necessities.",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.1 out of 5', 'Green Area4.2 out of 5']",M90124176,"₹10,741 /sqft",
"4 Bedroom House for sale in Sarjapur, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-s2-avenues-sarjapur-bangalore-east-2800-sqft-spid-A88037720,S2 Avenues,2.45 Crore,Plot area 1500(139.35 sq.m.)Built-up area: 2800 sqft (260.13 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,"Pooja Room,Store Room","Sarjapur, Bangalore",East,1 to 5 Year Old,"['Forum Value Mall', 'National Highway 207', 'Electronic City', 'Sarjapur Junction', 'Azim Premji University', 'Confident Gear Leadership School', 'Indus International School', 'Green Wood High School', 'Spandana Hospital', 'SABIC Technology']","An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in s2 avenues, sarjapur, bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort.Basic details:
You will love this villa which is constructed on a built up area of of 1500 sq.Ft. And features 4 bedrooms, 4 bathroom and 2 balcony and a modular kitchen. The villa is beautifully landscaped with garden.Location:
The property is close to all basic facilities. The villa is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city.-Major banks and atms located within a close radius
-Several schools located within proximity
-Easy access to public transportWait no more and schedule a visit today.
For more information, kindly contact the owner.
The house is located in sarjapura, just 3 km from prestige city and the upcoming metro station. It sits within a wellmaintained layout that offers ample amenities for a comfortable and engaging lifestyle. The location is also close to allen college and several upcoming international schools, making it an excellent choice for families.The home has a builtup area of over 2,800 sq. Ft. And features four spacious bedrooms, each with its own attached bathroom. It includes two living rooms, a large dining area, and a bonus study that can easily function as a dedicated workstation.The kitchen is thoughtfully designed with a central island, offering generous space and excellent upkeep.The wardrobes are highend, with an aristo wardrobe installed in the master bedroom. All wooden doors are reinforced with strong iron doors for added durability and security.The house is also equipped with an ongrid solar setup, ensuring minimal electricity billslimited mostly to fixed charges","['1 Water Purifier', 'Fan', '4 Geyser', 'Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Park', 'Security Guard']","['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",A88037720,"₹16,333 /sqft",2 Floors
"8 Bedroom House for sale in 7th Phase JP Nagar, Bangalore",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-7th-phase-jp-nagar-bangalore-south-2400-sqft-spid-D90033536,"7th Phase JP Nagar, Bangalore, Bangalore South",4.91 Crore,Plot area 2400(222.97 sq.m.)Carpet area: 4000 sqft (371.61 sq.m.),8 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Study Room","7th Phase JP Nagar, Bangalore",West,10+ Year Old,"['Central bank of india ATM', 'Citibank ATM', 'Lakshmi vilas bank ATM', 'Indian overseas bank ATM', 'Indicash ATM', 'Indusind bank ATM', 'Andhra bank ATM', 'Royal Pet Care', 'Johnson Dental Clinic', ""Raga's Skin Care"", 'The Apollo Clinic For Health Check Up', ""Dr. Praveen's Orthopaedics Center"", 'Rainbow Clinic and Diagnostic Laboratory', 'DenTotal', ""Dr. Mradula's Skin Clinic"", 'Supra South City Hospital', 'Bankapura Medicals', 'Pavithra Medical & General Stores', 'Sri Laxmi Medicals', 'Nagashree Medicals', 'Indian Oil Corporation', 'Canara bank', 'Icici bank', 'Uco bank', 'Sarovara', 'Magadha', 'Hakuna Matata', 'Aditya', 'Five Star Chicken', 'Rolls on Wheels', 'Punjabi Food Corner', 'Green Chillies', 'Kakal Kai Ruchi', 'Punjabi Food Corner', 'Dosa Bazzar', 'Clay Oven Restaurant', ""Papa John's Pizza"", 'SLV', 'Mayia Express', 'Chaatimes', 'Chatori Gali', ""Bangalooru Tiffany's"", 'Cafe Pascucci', 'Sichuan Court', 'Kolkata Famous Kati Roll', 'GMPS Puttenhalli', 'Holy Mother HPS J P Nagara Jaragana Halli 1', 'Aura Montessori House of Children', 'Aindra Systems', 'Just books clc library']","Site size: 60*40.
60 towards road.Building details: Ground floor: 2bhk, 1st floor: 3bhk, 2nd floor: 2.5 bhk + 1 bhk, 3rd floor: Terrace+1bhk. Ample parking space.","['4 Wardrobe', 'Fan', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Visitor Parking', 'Rain Water Harvesting']","['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.3 out of 5', 'Green Area4.2 out of 5']",90033536,"₹20,458 /sqft",4 Floors
"10 Bedroom House for sale in BTM Layout, Bangalore",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-btm-layout-bangalore-south-5000-sqft-spid-R87948720,"BTM Layout, Bangalore, Bangalore South",8 Crore,Plot area 2600(241.55 sq.m.)Built-up area: 5000 sqft (464.52 sq.m.)Carpet area: 4060 sqft (377.19 sq.m.),10 Bedrooms,10 Bathrooms,3+ Balconies,"Study Room,Pooja Room,Store Room,Servant Room","House No 219, BTM Layout, Bangalore",,10+ Year Old,"['Btm layout metro station', 'Kerala Mosque', 'Ganesha Temple', 'Lord Venkateswara Temple Hanuman', 'Lord Shiva Temple', 'Icici ATM', 'Kotak mahindra ATM', 'Citi bank ATM', 'Deutsche bank ATM', 'Icici bank ATM', 'Axis bank ATM', 'State bank of india ATM', 'Karur vysya bank ATM', 'Indusind bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Daivik Clinic', 'Kareem ENT', 'Vedam Ayurveda Multispeciality Hospital', 'Kids Care Clinic', 'Kareem E.N.T and Multispeciality Centre', 'Vinayaka Nethralaya', 'Pothys Hospital', 'Nisa Multi Speciality Clinics', 'Ayesha Speciality Clinic', 'Srinivasa Dental Clinic', 'Marigold Hospital', 'M.F. Dental Care', 'Anugraha Clinic', 'Nandi Pharma', 'MedPlus', 'Apollo Pharmacy', 'Karnataka bank', 'Corporation bank', 'Sir m. visvesvaraya co-operative bank limited', 'Union bank of india', 'Bank of maharashtra', 'Hdfc bank', 'State bank of india', 'Rbl bank', 'Kotak mahindra bank', 'Hyderabadi Biriyani', 'Sri Krishna Sagar', 'Dhansagar', 'Pizza Hut', 'GHPS Gurappana Palya', 'GUHPS Neelasandra', 'Sambhavam - Centre for Autism', 'Play School', 'Calibre library']","Premium independent villa for sale in btm layout, bangaloreAn exceptional opportunity to own a beautifully designed independent villa in btm layout, bangalore, one of the citys most sought-After residential hubs. This spacious villa offers a perfect blend of luxury, comfort, and investment potential, ideal for end-Users as well as investors.Built on a 5000 sq.Ft. Built-Up area, the villa comprises 10 well-Planned bedrooms, 10 bathrooms, and 4 balconies, ensuring ample space, privacy, and excellent ventilation. The property features a modular kitchen, landscaped garden area, solar panels on the rooftop, and a lift facility, adding to convenience and sustainability.The villa includes 4 separate residential units (2 2bhk and 2 4bhk), out of which 4 units are currently rented, generating a steady rental income of 1.5 lakh per monthmaking it a highly attractive income-Generating asset.Located in a family-Friendly neighborhood, the property enjoys excellent connectivity to major roads and key areas of bangalore. Banks, atms, reputed schools, public transport, and daily conveniences are all within close proximity. Schedule a site visit today to explore this rare independent villa in btm layout.","['10 Wardrobe', '1 Water Purifier', 'Fan', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Recently Renovated', 'Visitor Parking', 'Security Guard']","['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.3 out of 5', 'Green Area4.1 out of 5']",R87948720,"₹30,769 /sqft",3 Floors
"4 Bedroom House for sale in Sarjapura Attibele Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-valby-ira-sarjapura-attibele-road-bangalore-south-3127-sq-ft-to-3186-sq-ft-npspid-J90696240,Valby Ira,₹2.7  - 2.76 Cr,"3,127-3,186 sqft",,,,,"Sarjapura Attibele Road, Bangalore",,Under Construction,"[""St. Philomena's Central School"", 'National Highway 948A', 'Azim Premji University', 'Clover Greens Golf Course', 'Town Hospital Sarjapura', 'Natura Walk Shopping Mall', 'Discovate Studios Amusement Park', 'Kempegowda Intl Airport']",Valby ira is a plotted development. This project is crafted to suit the lifestyle needs of todays families and professionals.,[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",J90696240,"₹8,650 /sqft",
"4 Bedroom House for sale in Devanahalli, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-konig-north-county-devanahalli-bangalore-north-2600-sqftto-3400-sqft-npspid-O90615064,Konig North County,₹2.46  - 3.21 Cr,"2,600-3,400 sqft",4 Bedrooms,,,,"Devanahalli, Bangalore",,Under Construction,"['Vidyashilp University', 'Stonehill International School', 'Padukone - Dravid Centre', 'Bettahalsoor Railway Station', 'Club Cabana Amusement Park', 'NH 44', 'Clarks Exotica- Convention Resort & Spa', 'Trust Hospital', 'Trends', 'Divyashree Tech Space', 'Kempegowda International Airport']","Indulge in the charm of luxurious villas crafted to perfection, blending timeless sophistication with modern convenience. Relish a life of grandeur, where every detail reflects unparalleled class and exquisite design. Konig north county offers more than just a residenceits a lifestyle. Nestled in a vibrant community, enjoy state-Of-The-Art amenities and a serene ambience that celebrates comfort, joy, and refined living every day. 
 
Konig north county in devanahalli is one of the upcoming premium housing societies in bangalore north. There are villas for sale in konig north county devanahalli, bangalore. It boasts of world class amenities to suit home buyers needs and requirements. The possession is scheduled on march 2027. 
 
Being an rera-Registered society, the project details and other important information is also available on the state rera portal. The rera registration number of this project is prm/ka/rera/1250/303/pr/071124/007207. 
 
Konig homes is a well-Known real estate brand in bangalore north and east that specializes in villa project development. 
 
Features and amenities: 
 This luxurious 4 bhk villa project is spread in 7 acres. 
 Konig north county bangalore north has some great amenities to offer such as swimming pool, gymnasium and club house. 
 Some popular transit points closest to konig north county are kial 20 mins., hegganahalli gate  1 min., railway station  30 mins.",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.2 out of 5']",O90615064,"₹9,449 /sqft",
"3 Bedroom House for sale in Sarjapura Attibele Road, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-earth-natura-flying-leaf-sarjapura-attibele-road-bangalore-south-2186-sqftto-2224-sqft-npspid-N89154923,Earth Natura Flying Leaf,₹2.08  - 2.11 Cr,"2,186-2,224 sqft",,,,,"Sarjapura Attibele Road, Bangalore",,Under Construction,"['National Highway 948A', ""St. Philomena's Central School"", 'Hotel Victory Grand', 'Azim Premji University', 'Clover Greens Golf Course', 'Town Hospital Sarjapura', 'Prashasthi Sports Arena Stadium', 'Discovate Studios Amusement Park', 'Carmelaram Railway Station', 'Virginia Mall', 'Kempegowda Intl Airport']","Earth natura flying leaf,sarjapur attibele road,bangalore south",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",N89154923,"₹9,500 /sqft",
"3 Bedroom House for sale in Budigere Cross, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-budigere-cross-bangalore-east-2941-sq-ft-spid-Q87509244,GR sunvilla,3.3 Crore,Plot area 2340(217.39 sq.m.)Built-up area: 2941 sqft (273.23 sq.m.),3 Bedrooms,4 Bathrooms,2 Balconies,"Pooja Room,Store Room,Servant Room","Budigere Cross, Bangalore",West,5 to 10 Year Old,"['Sri Shubha Sapthagiri Convention Hall', 'New Baldwin International Residential School', 'Shiva Shakthi Industries And Rolling Mill']","Gr sunvillas West facing property. 
Club house facing villa, 
Lots of open space within society 
No construction in front of the villaAgriculture / farm land for sale in soron kasganj .A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of , soron, u pThe plot is spread across an area of 836352 sq.Ft. Available for commercial use. It is an east facing property with north facing road width of 19.7 ft.It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.Wait no more and schedule a visit today.
For further details, kindly contact the owner.","['3 Wardrobe', 'Fan', '1 Exhaust Fan', '3 Geyser', 'Light', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Guard', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house']","['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",Q87509244,"₹11,220 /sqft",2 Floors
